nest.id,nest,area,sub_area,year,Clutch_size,no.nestlings,prop.hatched,no.fledged,prop.fledged,A2_nestling,B2_nestling,A1_nestling,Clutch_initiation_date,Clutch_initiation_day,Nestbox,cover
N0179,nest_306,4BS,4B2,2016,2,1,0.5,0,0,0,NA,NA,01/06/2016,153,Yes,NA
N0180,nest_312,4BS,4B2,2016,2,2,1,0,0,0,0,NA,01/06/2016,153,Yes,NA
N0181,nest_319,4BS,4B2,2016,2,2,1,1,0.5,1,0,NA,01/06/2016,153,Yes,NA
N0182,nest_663,6N,6NUT,2016,2,2,1,1,0.5,1,0,NA,01/06/2016,153,Yes,NA
N0183,nest_R008,4AS,4A1,2016,2,2,1,1,0.5,1,0,NA,01/06/2016,153,No,3
N0184,nest_R009,6S,6SUT,2016,2,2,1,0,0,0,0,NA,01/06/2016,153,No,4
N0185,nest_R011,6S,6SUT,2016,2,2,1,0,0,0,0,NA,01/06/2016,153,No,2
N0186,nest_R012,6S,6SUT,2016,2,2,1,0,0,0,0,NA,01/06/2016,153,No,4
N0187,nest_R013,6S,6SUT,2016,2,2,1,1,0.5,1,0,NA,01/06/2016,153,No,4
N0188,nest_R014,6S,6SUT,2016,2,2,1,1,0.5,1,0,NA,01/06/2016,153,No,2
N0189,nest_R030,6S,6SUT,2016,2,2,1,0,0,0,0,NA,01/06/2016,153,No,4
N0190,nest_R131,4AS,4A2,2016,2,2,1,0,0,0,0,NA,01/06/2016,153,No,2
N0191,nest_R132,4AS,4A2,2016,2,1,0.5,0,0,0,NA,NA,01/06/2016,153,No,1
N0192,nest_R133,4BS,4B1,2016,2,2,1,0,0,0,0,NA,01/06/2016,153,No,4
N0193,nest_R136,4AS,4A2,2016,2,2,1,1,0.5,1,0,NA,01/06/2016,153,No,4
N0194,nest_R137,4AS,4A2,2016,2,2,1,1,0.5,1,0,NA,01/06/2016,153,No,2
N0195,nest_R138,4AS,4A2,2016,2,2,1,0,0,0,0,NA,01/06/2016,153,No,3
N0196,nest_R139,4BS,4B1,2016,1,1,1,0,0,NA,NA,0,01/06/2016,153,No,2
N0197,nest_R140,4BS,4B1,2016,2,2,1,1,0.5,0,1,NA,01/06/2016,153,No,2
N0198,nest_R141,6S,6SUT,2016,2,1,0.5,1,1,1,NA,NA,01/06/2016,153,No,3
N0199,nest_R142,G1E,G1E,2016,2,0,0,NA,NA,NA,NA,NA,01/06/2016,153,No,2
N0200,nest_40,4AS,4A1,2016,2,2,1,1,0.5,1,0,NA,02/06/2016,154,Yes,NA
N0201,nest_45,4AS,4A2,2016,2,2,1,1,0.5,1,0,NA,02/06/2016,154,Yes,NA
N0202,nest_66,4AS,4A2,2016,1,1,1,1,1,NA,NA,1,02/06/2016,154,Yes,NA
N0203,nest_111,4BS,4B1,2016,2,2,1,1,0.5,1,0,NA,02/06/2016,154,Yes,NA
N0204,nest_129,4BS,4B1,2016,2,2,1,0,0,0,0,NA,02/06/2016,154,Yes,NA
N0205,nest_211,6S,6SUT,2016,2,2,1,1,0.5,1,0,NA,02/06/2016,154,Yes,NA
N0206,nest_223,6N,6NUT,2016,1,1,1,1,1,NA,NA,1,02/06/2016,154,Yes,NA
N0207,nest_226,6N,6NUT,2016,2,2,1,1,0.5,1,0,NA,02/06/2016,154,Yes,NA
N0208,nest_664,6N,6NUT,2016,2,0,0,NA,NA,NA,NA,NA,02/06/2016,154,Yes,NA
N0209,nest_R015,4AS,4A1,2016,1,1,1,0,0,NA,NA,0,02/06/2016,154,No,2
N0210,nest_R016,4BS,4B2,2016,2,2,1,0,0,0,0,NA,02/06/2016,154,No,4
N0211,nest_R017,6S,6SUT,2016,2,2,1,0,0,0,0,NA,02/06/2016,154,No,2
N0212,nest_R018,6S,6SUT,2016,2,2,1,0,0,0,0,NA,02/06/2016,154,No,3
N0213,nest_R019,6S,6SUT,2016,2,0,0,NA,NA,NA,NA,NA,02/06/2016,154,No,2
N0214,nest_R130,4AS,4A2,2016,1,1,1,0,0,NA,NA,0,02/06/2016,154,No,1
N0215,nest_R143,G1E,G1E,2016,2,2,1,1,0.5,1,0,NA,02/06/2016,154,No,4
N0216,nest_R144,4BS,4B1,2016,1,1,1,1,1,NA,NA,1,02/06/2016,154,No,3
N0217,nest_R145,4BS,4B1,2016,2,2,1,0,0,0,0,NA,02/06/2016,154,No,3
N0218,nest_R146,6S,6SUT,2016,2,2,1,0,0,0,0,NA,02/06/2016,154,No,2
N0219,nest_6,4AS,4A1,2016,2,2,1,1,0.5,1,0,NA,03/06/2016,155,Yes,NA
N0220,nest_24,4AS,4A1,2016,2,2,1,0,0,0,0,NA,03/06/2016,155,Yes,NA
N0221,nest_25,4AS,4A1,2016,2,0,0,NA,NA,NA,NA,NA,03/06/2016,155,Yes,NA
N0222,nest_37,4AS,4A1,2016,2,2,1,0,0,0,0,NA,03/06/2016,155,Yes,NA
N0223,nest_106,4BS,4B1,2016,2,1,0.5,1,1,1,NA,NA,03/06/2016,155,Yes,NA
N0224,nest_217,6S,6SUT,2016,1,1,1,1,1,NA,NA,1,03/06/2016,155,Yes,NA
N0225,nest_317,4BS,4B2,2016,2,2,1,1,0.5,1,0,NA,03/06/2016,155,Yes,NA
N0226,nest_664,6N,6NUT,2016,2,0,0,NA,NA,NA,NA,NA,03/06/2016,155,Yes,NA
N0227,nest_R020,6S,6SUT,2016,2,1,0.5,1,1,1,NA,NA,03/06/2016,155,No,4
N0228,nest_R022,4AS,4A1,2016,2,1,0.5,0,0,0,NA,NA,03/06/2016,155,No,3
N0229,nest_R023,4BS,4B2,2016,2,2,1,1,0.5,1,0,NA,03/06/2016,155,No,4
N0230,nest_R024,6S,6SUT,2016,2,2,1,0,0,0,0,NA,03/06/2016,155,No,3
N0231,nest_R025,6S,6SUT,2016,2,2,1,0,0,0,0,NA,03/06/2016,155,No,3
N0232,nest_R026,6N,6NUT,2016,2,2,1,1,0.5,1,0,NA,03/06/2016,155,No,3
N0233,nest_R034,4AS,4A1,2016,2,2,1,0,0,0,0,NA,03/06/2016,155,No,3
N0234,nest_R126,4AS,4A2,2016,2,1,0.5,0,0,0,NA,NA,03/06/2016,155,No,3
N0235,nest_R147,4BS,4B1,2016,1,1,1,1,1,NA,NA,1,03/06/2016,155,No,4
N0236,nest_R148,4AS,4A2,2016,2,2,1,0,0,0,0,NA,03/06/2016,155,No,2
N0237,nest_8,4AS,4A1,2016,2,2,1,2,1,1,1,NA,04/06/2016,156,Yes,NA
N0238,nest_10,4AS,4A1,2016,2,1,0.5,0,0,0,NA,NA,04/06/2016,156,Yes,NA
