nest.id,nest,area,year,no.eggs,no.nestlings,prop.hatched,no.fledged,prop.fledged,clutch_initiation_date,clutch_initiation_day,box,cover
N0215,R143,G1E,2016,2,2,1,1,0.5,02/06/2016,154,No,4
N0216,R144,4B1,2016,1,1,1,1,1,02/06/2016,154,No,3
N0217,R145,4B1,2016,2,2,1,0,0,02/06/2016,154,No,3
N0218,R146,6SUT,2016,2,2,1,0,0,02/06/2016,154,No,2
N0219,6,4A1,2016,2,2,1,1,0.5,03/06/2016,155,Yes,NA
N0220,24,4A1,2016,2,2,1,0,0,03/06/2016,155,Yes,NA
N0221,25,4A1,2016,2,0,0,NA,NA,03/06/2016,155,Yes,NA
N0222,37,4A1,2016,2,2,1,0,0,03/06/2016,155,Yes,NA
N0223,106,4B1,2016,2,1,0.5,1,1,03/06/2016,155,Yes,NA
N0224,217,6SUT,2016,1,1,1,1,1,03/06/2016,155,Yes,NA
N0225,317,4B2,2016,2,2,1,1,0.5,03/06/2016,155,Yes,NA
N0226,664,6NUT,2016,2,0,0,NA,NA,03/06/2016,155,Yes,NA
N0227,R020,6SMT,2016,2,1,0.5,1,1,03/06/2016,155,No,4
N0228,R022,4A1,2016,2,1,0.5,0,0,03/06/2016,155,No,3
N0229,R023,4B2,2016,2,2,1,1,0.5,03/06/2016,155,No,4
N0230,R024,6SMT,2016,2,2,1,0,0,03/06/2016,155,No,3
N0231,R025,6SMT,2016,2,2,1,0,0,03/06/2016,155,No,3
N0232,R026,6NUT,2016,2,2,1,1,0.5,03/06/2016,155,No,3
N0233,R034,4A1,2016,2,2,1,0,0,03/06/2016,155,No,3
N0234,R126,4A2,2016,2,1,0.5,0,0,03/06/2016,155,No,3
N0235,R147,4B1,2016,1,1,1,1,1,03/06/2016,155,No,4
N0236,R148,4A2,2016,2,2,1,0,0,03/06/2016,155,No,2
N0237,8,4A1,2016,2,2,1,2,1,04/06/2016,156,Yes,NA
N0238,10,4A1,2016,2,1,0.5,0,0,04/06/2016,156,Yes,NA
N0239,20,4A1,2016,2,2,1,1,0.5,04/06/2016,156,Yes,NA
N0240,122,4B1,2016,2,2,1,1,0.5,04/06/2016,156,Yes,NA
N0241,R028,4A1,2016,2,2,1,1,0.5,04/06/2016,156,No,4
N0242,R029,6SMT,2016,2,1,0.5,0,0,04/06/2016,156,No,4
N0243,R031,6SMT,2016,2,1,0.5,0,0,04/06/2016,156,No,4
N0244,R149,4A2,2016,2,1,0.5,0,0,04/06/2016,156,No,3
N0245,R150,4A2,2016,2,2,1,0,0,04/06/2016,156,No,1
N0246,R151,4A2,2016,2,1,0.5,0,0,04/06/2016,156,No,3
N0247,R152,4B1,2016,2,2,1,0,0,04/06/2016,156,No,2
N0248,R153,6SUT,2016,1,1,1,1,1,04/06/2016,156,No,4
N0249,R154,G1E,2016,2,2,1,1,0.5,04/06/2016,156,No,2
N0250,R156,G1E,2016,2,1,0.5,1,1,04/06/2016,156,No,1
N0251,2,4A1,2016,2,1,0.5,1,1,05/06/2016,157,Yes,NA
N0252,117,4B1,2016,2,2,1,1,0.5,05/06/2016,157,Yes,NA
N0253,186,6SMT,2016,2,2,1,0,0,05/06/2016,157,Yes,NA
N0254,315,4B2,2016,2,2,1,1,0.5,05/06/2016,157,Yes,NA
N0255,R155,4A2,2016,2,2,1,1,0.5,05/06/2016,157,No,1
N0256,R157,4A2,2016,1,1,1,0,0,05/06/2016,157,No,1
N0257,R158,4A2,2016,2,2,1,0,0,05/06/2016,157,No,4
N0258,R159,4B1,2016,1,0,0,NA,NA,05/06/2016,157,No,3
N0259,307,4B2,2016,1,0,0,NA,NA,06/06/2016,158,Yes,NA
N0260,R160,4A2,2016,1,1,1,1,1,06/06/2016,158,No,1
N0261,R161,4A2,2016,2,2,1,0,0,06/06/2016,158,No,1
N0262,R162,4B1,2016,2,1,0.5,0,0,06/06/2016,158,No,1
N0263,R163,6SUT,2016,1,1,1,0,0,06/06/2016,158,No,3
N0264,114,4B1,2016,2,2,1,1,0.5,07/06/2016,159,Yes,NA
N0265,R032,4A1,2016,1,0,0,NA,NA,07/06/2016,159,No,3
N0266,R033,6SMT,2016,1,1,1,1,1,07/06/2016,159,No,4
N0267,R164,4B1,2016,2,2,1,0,0,07/06/2016,159,No,2
N0268,R165,4B1,2016,1,1,1,0,0,07/06/2016,159,No,4
N0269,R166,4B1,2016,2,2,1,0,0,07/06/2016,159,No,3
N0270,R167,4B1,2016,2,2,1,1,0.5,07/06/2016,159,No,3
